EmployeeNumber,Age,Department,JobRole,MonthlyIncome,OverTime,JobSatisfaction,YearsAtCompany,WorkLifeBalance,PerformanceRating,YearsSinceLastPromotion,Attrition
1,41,Sales,Sales Executive,5993,Yes,4,6,1,3,0,Yes
2,49,Research & Development,Research Scientist,5130,No,2,10,3,4,1,No
4,37,Research & Development,Laboratory Technician,2090,Yes,3,0,3,3,0,Yes
5,33,Research & Development,Research Scientist,2909,Yes,3,8,3,3,3,No
7,27,Research & Development,Laboratory Technician,3468,No,2,2,3,3,2,No
8,32,Research & Development,Laboratory Technician,3068,No,4,7,2,3,3,No
10,59,Research & Development,Laboratory Technician,2670,Yes,1,1,2,4,0,No
11,30,Research & Development,Laboratory Technician,2693,No,3,1,3,4,0,No
12,38,Research & Development,Manufacturing Director,9526,No,3,9,3,4,1,No
13,36,Research & Development,Healthcare Representative,5237,No,3,7,2,3,7,No
14,35,Research & Development,Laboratory Technician,2426,No,2,5,3,3,0,No
15,29,Research & Development,Laboratory Technician,4193,Yes,3,9,3,3,0,No
16,31,Research & Development,Research Scientist,2911,No,3,5,2,3,4,No
18,34,Research & Development,Laboratory Technician,2661,No,4,2,3,3,1,No
19,28,Research & Development,Laboratory Technician,2028,Yes,3,4,3,3,0,Yes
20,29,Research & Development,Manufacturing Director,9980,No,1,10,3,3,8,No
21,32,Research & Development,Research Scientist,3298,Yes,2,6,2,3,0,No
22,22,Research & Development,Laboratory Technician,2935,Yes,4,1,2,3,0,No
23,53,Sales,Manager,15427,No,4,25,3,3,3,No
24,38,Research & Development,Research Scientist,3944,Yes,4,3,3,3,1,No
26,24,Research & Development,Manufacturing Director,4011,No,3,4,2,3,1,No
27,36,Sales,Sales Representative,3407,No,1,5,3,4,0,Yes
28,34,Research & Development,Research Director,11994,No,2,12,3,3,2,No
30,21,Research & Development,Research Scientist,1232,No,4,0,3,3,0,No
31,34,Research & Development,Research Scientist,2960,No,1,4,3,3,1,Yes
32,53,Research & Development,Manager,19094,No,3,14,2,3,4,No
33,32,Research & Development,Research Scientist,3919,Yes,1,10,3,4,6,Yes
35,42,Sales,Sales Executive,6825,No,2,9,3,3,4,No
36,44,Research & Development,Healthcare Representative,10248,No,4,22,3,3,5,No
38,46,Sales,Manager,18947,No,1,2,2,3,2,No
39,33,Research & Development,Laboratory Technician,2496,No,4,1,3,3,0,No
40,44,Research & Development,Healthcare Representative,6465,Yes,4,4,4,3,1,No
41,30,Research & Development,Laboratory Technician,2206,No,3,10,3,3,1,No
42,39,Sales,Sales Representative,2086,No,4,1,4,3,0,Yes
45,24,Research & Development,Research Scientist,2293,Yes,4,2,2,3,2,Yes
46,43,Research & Development,Research Scientist,2645,No,3,5,2,3,1,No
47,50,Sales,Sales Representative,2683,Yes,3,3,3,3,0,Yes
49,35,Sales,Sales Representative,2014,No,4,2,3,3,2,No
51,36,Research & Development,Research Scientist,3419,Yes,1,1,4,3,0,No
52,33,Sales,Sales Executive,5376,No,1,5,3,3,1,No
53,35,Research & Development,Laboratory Technician,1951,No,4,1,3,3,0,No
54,27,Research & Development,Laboratory Technician,2341,No,1,1,3,3,0,No
55,26,Research & Development,Laboratory Technician,2293,No,3,1,2,3,0,Yes
56,27,Sales,Sales Executive,8726,No,3,9,3,3,1,No
57,30,Research & Development,Laboratory Technician,4011,No,4,12,3,4,3,No
58,41,Research & Development,Research Director,19545,No,3,22,3,3,15,Yes
60,34,Sales,Sales Executive,4568,No,3,9,3,4,8,No
61,37,Research & Development,Research Scientist,3022,No,2,1,3,4,0,No
62,46,Sales,Sales Executive,5772,Yes,4,9,3,4,0,No
63,35,Research & Development,Laboratory Technician,2269,No,4,1,3,3,0,No
64,48,Research & Development,Laboratory Technician,5381,Yes,3,1,3,3,0,Yes
65,28,Research & Development,Laboratory Technician,3441,Yes,3,2,2,3,2,Yes
68,44,Sales,Sales Executive,5454,Yes,1,4,2,4,1,No
70,35,Research & Development,Healthcare Representative,9884,Yes,1,4,3,3,2,No
72,26,Sales,Sales Executive,4157,Yes,4,2,2,3,0,No
73,33,Research & Development,Research Director,13458,Yes,4,15,3,3,8,No
74,35,Sales,Sales Executive,9069,No,1,9,2,4,1,No
75,35,Research & Development,Laboratory Technician,4014,Yes,1,2,3,3,2,No
76,31,Research & Development,Laboratory Technician,5915,No,4,7,2,4,1,No
77,37,Research & Development,Manufacturing Director,5993,No,3,7,4,3,0,No
78,32,Research & Development,Manufacturing Director,6162,Yes,4,9,3,4,7,No
79,38,Research & Development,Laboratory Technician,2406,No,4,10,3,3,9,No
80,50,Research & Development,Research Director,18740,Yes,3,27,2,3,13,No
81,59,Sales,Sales Executive,7637,No,1,21,2,3,7,No
83,36,Research & Development,Healthcare Representative,10096,No,3,17,3,3,12,No
84,55,Research & Development,Manager,14756,Yes,3,5,3,3,0,No
85,36,Research & Development,Manufacturing Director,6499,No,2,6,3,3,0,No
86,45,Research & Development,Research Scientist,9724,No,1,1,3,3,0,No
88,35,Research & Development,Research Scientist,2194,No,1,3,2,3,1,No
90,36,Research & Development,Research Scientist,3388,Yes,3,1,2,3,0,Yes
91,59,Sales,Sales Executive,5473,No,3,4,2,3,1,No
94,29,Research & Development,Research Scientist,2703,No,2,5,3,4,0,No
95,31,Research & Development,Research Scientist,2501,No,2,1,3,3,1,No
96,32,Research & Development,Research Scientist,6220,No,2,10,3,3,0,No
97,36,Research & Development,Laboratory Technician,3038,No,4,1,3,3,0,No
98,31,Research & Development,Manufacturing Director,4424,No,4,11,3,4,1,No
100,35,Sales,Sales Executive,4312,No,1,15,3,3,2,No
101,45,Research & Development,Research Director,13245,Yes,1,0,4,3,0,No
102,37,Research & Development,Research Director,13664,No,3,5,4,3,0,No
103,46,Human Resources,Human Resources,5021,Yes,2,4,3,4,0,No
104,30,Research & Development,Laboratory Technician,5126,Yes,4,10,2,3,3,No
105,35,Research & Development,Research Scientist,2859,No,3,6,3,3,0,No
106,55,Sales,Sales Executive,10239,No,4,1,3,3,1,No
107,38,Research & Development,Research Scientist,5329,Yes,4,13,3,3,1,No
110,34,Research & Development,Manufacturing Director,4325,No,2,5,3,3,1,No
112,56,Research & Development,Manufacturing Director,7260,No,4,6,2,3,0,No
113,23,Sales,Sales Representative,2322,No,1,0,3,3,0,No
116,51,Research & Development,Laboratory Technician,2075,No,4,4,3,4,0,No
117,30,Research & Development,Healthcare Representative,4152,No,4,11,3,3,10,No
118,46,Sales,Sales Executive,9619,No,4,9,3,3,4,Yes
119,40,Research & Development,Healthcare Representative,13503,No,2,22,2,4,11,No
120,51,Sales,Sales Executive,5441,Yes,4,10,1,4,1,No
121,30,Sales,Sales Executive,5209,Yes,2,11,2,3,2,No
124,46,Research & Development,Healthcare Representative,10673,Yes,1,10,2,3,9,No
125,32,Sales,Sales Executive,5010,No,3,11,3,3,5,No
126,54,Research & Development,Research Director,13549,No,3,4,1,3,0,No
128,24,Sales,Sales Executive,4999,No,3,3,2,4,0,No
129,28,Sales,Sales Executive,4221,No,3,5,4,3,0,No
131,58,Sales,Sales Executive,13872,No,3,37,2,3,1,No
132,44,Research & Development,Laboratory Technician,2042,No,2,3,4,3,1,No
133,37,Human Resources,Human Resources,2073,Yes,1,3,3,4,0,Yes
134,32,Research & Development,Research Scientist,2956,No,1,1,3,3,0,No
137,20,Research & Development,Laboratory Technician,2926,Yes,4,1,3,3,1,Yes
138,34,Research & Development,Research Scientist,4809,No,3,16,3,3,2,No
139,37,Research & Development,Healthcare Representative,5163,No,4,1,4,3,0,No
140,59,Human Resources,Manager,18844,No,4,3,3,4,2,No
141,50,Research & Development,Research Director,18172,Yes,2,8,2,3,0,No
142,25,Sales,Sales Executive,5744,Yes,3,6,3,3,0,Yes
143,25,Research & Development,Research Scientist,2889,No,4,2,3,3,2,No
144,22,Research & Development,Laboratory Technician,2871,No,4,0,3,3,0,No
145,51,Research & Development,Healthcare Representative,7484,No,1,13,2,4,12,No
147,34,Research & Development,Laboratory Technician,6074,Yes,3,9,3,4,0,Yes
148,54,Human Resources,Manager,17328,Yes,4,5,3,3,4,No
150,24,Research & Development,Laboratory Technician,2774,No,3,5,3,3,1,No
151,34,Research & Development,Research Scientist,4505,No,2,1,3,3,0,No
152,37,Sales,Sales Executive,7428,No,4,5,3,3,1,No
153,34,Research & Development,Manager,11631,No,1,11,3,3,5,No
